Proband;Alter;Alter_Gruppe;Geschlecht;Bildung;PC_Nutzung_pJ;PC_Nutzung_bJ;PC_Nutzung_pS;PC_Nutzung_bS;Kenntnisse_Betriebssystem;Kenntnisse_Internet;Kenntnisse_Programme;Betriebssystem_Win;Betriebssystem_Mac;Betriebssystem_Linux;Betriebssystem_Andere;Schwere;bekannt;UrsacheNennen;Lokation;Stabilitaet;Kontrollierbarkeit;Globalitaet;Aufgabe
104;24;1;1;5;10;0;1;0;4;5;2;1;0;0;0;3;7;ich konnte mein gewicht bearbeiten habe habe keinen differenz wert oder botton zum anzeigen des wertes gefunden;7;6;2;5;6
105;48;2;2;3;30;10;4;6;4;5;3;0;1;0;0;5;7;Hätte gerne direkt auf Schlutup geklickt. Suchweg nicht durchgängig;5;6;1;7;2
105;48;2;2;3;30;10;4;6;4;5;3;0;1;0;0;1;7;kein tool zum ausrechnen gefunden;6;7;1;7;6
106;49;2;1;2;30;20;2;2;3;4;2;1;1;0;0;6;4;ohne schnellsuche schwer;4;4;5;5;2
106;49;2;1;2;30;20;2;2;3;4;2;1;1;0;0;7;6;keine erfahrung mit dem program;2;6;2;6;4
106;49;2;1;2;30;20;2;2;3;4;2;1;1;0;0;7;7;keine ahnung von der app;6;6;2;4;6
107;24;1;2;5;12;14;4;2;2;5;4;1;0;0;0;7;4;Soweit ich es erkennen konnte, war die Bauverordnung nicht unter 'Bauen und Wohnen' zu finden, daher hab ich sie nicht gefunden;6;6;6;5;2
107;24;1;2;5;12;14;4;2;2;5;4;1;0;0;0;6;7;Ich habe, soweit ich das sehen konnte, alles im Bereich 'Gewicht' angeklickt, was ging, und die Information nicht finden können;4;6;6;3;6
108;55;3;1;6;30;25;2;8;7;7;7;1;1;1;0;7;6;Ich habe keinen Hinweis auf die Bauvorschriften gefunden.;6;7;7;7;2
108;55;3;1;6;30;25;2;8;7;7;7;1;1;1;0;7;7;Keine Möglichkeit gefunden, die Gewichtsabnahme festzustellen.;7;7;7;7;6
109;24;1;2;3;10;6;3;8;4;4;5;1;0;0;0;5;3;Das nicht verwenden der Suchfunktion.;4;6;4;5;2
